name,native,variants,family,styles,level,renamed_from,meaning,era,origin_person,origin_place,modifier,modified_era,introduced_by,disputed,provenance,sources
Matsumura Seisan,松村十三,"Matsumura no Seisan; Seisan (Shito-ryu, Shuri version)",shuri-te,itosu-ryu|shito-ryu|shudokan|matsumura-seito|kenshinkan|matsumura-kenpo,senior,,,attributed to the 19th century; documented in Shito-ryu only from the post-war period,Attributed to Sokon Matsumura (1809-1898) by tradition; the attribution is unevidenced,,"Ryusho Sakagami, who added it to the Itosu-kai list after learning it from Tsuchiya of the Shudokan; Hohan Soken for the Matsumura Seito line via Nabe Matsumura",,,yes,"NEW RECORD. Essential because 'the Shito-ryu Seisan' is not one object: Shito-ryu holds this AND the Naha 'Sesan', acquired separately about seventy years apart. Seisan was NOT in Mabuni's original Shuri curriculum - 'In the original curriculum of Shito-ryu this kata did not exist' - and entered post-war when Sakagami Ryusho traced it to the Shudokan (Toyama Kanken's school), learned it from Tsuchiya there, and put it on the Itosu-kai list, from which other Shito-ryu schools took it. The separate Matsumura Seito holding descends via Nabe Matsumura (1860-1930) to Hohan Soken.",
Matsumura no Passai,松村のパッサイ,Matsumura Bassai; Matsumura Patsai; Passai (Matsumura); Matsumura Passai,shuri-te,matsumura-seito|kenshinkan|shito-ryu|kobayashi-shorin-ryu|hayashi-ha-shito-ryu|shorin-ryu,senior,,"The Passai version attributed to Sōkon Matsumura, regarded as closer to the older Chinese-flavoured form than Itosu's school version; same 'breach a fortress' gloss.",mid-19th century,Sokon Matsumura,"Shuri, Okinawa","Nabe Matsumura, then Hohan Soken, who made the Matsumura Seito line public from 1952",,Sokon Matsumura (created); Hohan Soken (standardised),yes,"Preserved in the Matsumura family line to Nabe Matsumura and Hōhan Sōken (Matsumura Seito), and separately recorded by Kenwa Mabuni in Shitō-ryū as Matsumura no Passai; in Chibana's Kobayashi line the Passai Dai is likewise credited to Matsumura, with Itosu's as Passai Shō. The Matsumura recension, taught after the Itosu version. CORRECTION AND DEDUPLICATION. This row and 'Matsumura Bassai' are one label under two readings; keep one. The substantive problem is that the label covers two transmissions: (a) Matsumura Seito, Sokon Matsumura to Nabe Matsumura to Hohan Soken, who received two Passai, Dai and Sho; (b) Chibana's line and much of Shito-ryu, a form received from the Tawada family, which several writers hold was only later attributed to Matsumura, one calling it a publishing-era error. The two are described as sharing concepts but noticeably distinct in execution. Attribution to So",https://en.wikipedia.org/wiki/Passai | https://en.wikipedia.org/wiki/S%C5%8Dkon_Matsumura | https://en.wikipedia.org/wiki/Hohan_Soken
Myojo,明星,Meijo; Meiosei; Myōjō,shuri-te,dento-shito-ryu|seito-shito-ryu|shito-kai|shito-ryu,junior,,morning star,c. 1940s,Kenwa Mabuni,"Osaka, Japan",Kenwa Mabuni,1940s,Kenwa Mabuni (created); Kenei Mabuni (transmitted),,"Composed for physical education use, reportedly for the Japanese Women's Physical Education College.","WKF Competition Rules, Appendix: Official Kata List"
Naifanchin Nidan,内歩進二段,Naihanchi Nidan; Tekki Nidan,shuri-te,shito-ryu|shorin-ryu|shuri-te|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|ueshiro-shorin-ryu,middle,,"inner stepping, second level",c. 1900,Anko Itosu,,Kenwa Mabuni for Shito-ryu; Funakoshi and the JKA as Tekki Nidan,1900s-1950s,Anko Itosu (created); Kenwa Mabuni (standardised),,Composed by Itosu to extend the single old Naihanchi into a graded series for school instruction.,"WKF Competition Rules, Appendix: Official Kata List"
Naifanchin Sandan,内歩進三段,Naihanchi Sandan; Tekki Sandan,shuri-te,shito-ryu|shorin-ryu|shuri-te|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|ueshiro-shorin-ryu,middle,,"inner stepping, third level",c. 1900,Anko Itosu,,Kenwa Mabuni; Funakoshi and the JKA as Tekki Sandan,1900s-1950s,Anko Itosu (created); Kenwa Mabuni (standardised),,Third of Itosu's Naihanchi series.,"WKF Competition Rules, Appendix: Official Kata List"
Naifanchin Shodan,内歩進初段,Naifanchi Shodan; Naihanchi Shodan; Tekki Shodan,shuri-te,motobu-ryu|shito-ryu|shorin-ryu|shuri-te|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|ueshiro-shorin-ryu,middle,,"inner stepping, first level",19th century or earlier,"Unknown; the oldest of the three, of unrecorded Shuri or Tomari origin",,Anko Itosu; Choki Motobu preserved a divergent recension,c. 1900,Sokon Matsumura (standardised); Anko Itosu (standardised); Choki Motobu (transmitted); Kenwa Mabuni (standardised),yes,"Motobu Choki is recorded as having practised Naihanchi above all else, which preserved a version distinct from Itosu's school form.","WKF Competition Rules, Appendix: Official Kata List"
Naihanchi,ナイハンチ / 内歩進,Chul Ki (Tang Soo Do); Chulgi (철기); Naifanchi; Naifanchin; Naihanchi Shodan / Nidan / Sandan; Naihanchi Shodan/Nidan/Sandan; Naihanji / Nae Bo Jin (Korean); Nifanchin (older Okinawan reading); Tachimura no Naihanchi; Tekki 1-3; Tekki Shodan / Nidan / Sandan (Shotokan); Tomari Naihanchi,shuri-te,isshin-ryu|kishimoto-di|kobayashi-shorin-ryu|kyokushin|matsubayashi-ryu|motobu-ryu|okinawa-kenpo|shito-ryu|shobayashi-shorin-ryu|shorin-ryu|shorin-ryu-seibukan|shotokan|shuri-ryu|shuri-te|tang-soo-do|tomari-te|wado-ryu,middle,,Uncertain. Commonly read as 'inside step-advancing'; the older Okinawan form Nifanchin suggests a Chinese source-name rather than a Japanese description,19th century or earlier in Okinawa; Nidan and Sandan c. 1900,"Unknown. The kata is generally held to have entered Okinawa from Fuzhou; Sokon Matsumura is the most frequently named Okinawan candidate for the Shodan form, but this is tradition, not record","Okinawa (Shuri and Tomari), from a Fuzhou source form known as Nifanchin","Anko Itosu, who is the leading candidate for dividing the material into three graded kata; alternative candidates named in the literature are Tokumine Pechin and Choki Motobu","Division into Shodan/Nidan/Sandan c. 1900-1905, contemporaneous with Itosu's school-syllabus work; renamed Tekki by Funakoshi in 1935",Sokon Matsumura (transmitted); Karyu (Giko) Uku (transmitted); Tachimura no Peichin (transmitted); Anko Itosu (standardised); Tokumine Pechin (modified); Choki Motobu (modified); Gichin Funakoshi (renamed); Sokon Matsumura (standardised); Anko Itosu (created); Choki Motobu (standardised),yes,"The oldest surviving written references to Naihanchi are in Choki Motobu's books of the 1920s-30s, where he states the kata was imported from China and was no longer practised there. Before Itosu introduced the Pinan series, Naihanchi was the first kata taught in both Shuri-te and Tomari-te, which is itself evidence of its antiquity. A separate Tomari line runs from Karyu (Giko) Uku to Kosaku Matsumora, and a separate Shuri line from Bushi Tachimura to Soko Kishimoto (Tachimura no Naihanchi). Motobu Choki made Naihanchi the core of his own practice and is the reason the kata carries a reputation as a complete fighting curriculum.",https://en.wikipedia.org/wiki/Naihanchi | https://wadoryu.org.uk/post-articles/the-naihanchi-enigma/ | https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-2-pinan-naihanchi-kushanku-passai-kata/
Nidanbu,二段部,Nidan Bu; Nidanbu no Kata,shuri-te,bugeikan|kishimoto-di,,,'Second level section',late 19th to early 20th century,Soko Kishimoto,Okinawa,Kiyohiko Higa,late 20th century Bugeikan standardisation,Soko Kishimoto (created); Seitoku Higa (brought); Kiyohiko Higa (standardised),,"Kishimoto Soko's own composition, made as a connecting or 'help' kata to link the three inherited koryu forms of the system. The fourth and only non-koryu kata of KishimotoDi.",https://ilpracticalkarate.com/kishimotodi | https://blackbeltwiki.com/kishimotodi | https://www.karateobsession.com/2020/12/kishimotodi-revisited.html
Niseishi,二十四歩,E Sip Sa Bo (Korean); Nijushiho; Nijūshiho; Niseishi Dai; Niseshi,shuri-te,genseiryu|ryuei-ryu|shito-ryu|shotokan|shuri-te|wado-ryu,senior,,twenty-four steps,19th century,"Seisho Arakaki (Aragaki, 1840-1918)","Kume/Naha, Okinawa (Fuzhou-influenced)",Kenwa Mabuni (Shito); Funakoshi and the JKA (as Nijushiho); Otsuka (Wado),1920s-1950s,Seisho Arakaki (created); Kenwa Mabuni (standardised); Gichin Funakoshi (renamed); Hironori Otsuka (modified),yes,"Aragaki line into Shito-ryu, Shotokan and Wado-ryu; a separate Ryuei-ryu Niseishi exists via the Nakaima line and is a different kata.","WKF Competition Rules, Appendix: Official Kata List"
Passai,抜塞 / 拔塞,Bal Sae / Bassai (Korean); Bassai; Bassai (Shotokan); Bassai (Tang Soo Do / Taekwondo); Bassai Dai (抜塞大); Itosu no Passai; Matsumura no Passai; Passai Dai; Passai Sho; Patsai; Tachimura no Passai; Tomari/Oyadomari no Passai; Palsek,shuri-te,kobayashi-shorin-ryu|matsubayashi-ryu|matsumura-seito|okinawa-kenpo|shito-ryu|shobayashi-shorin-ryu|shorin-ryu|shotokan|shuri-ryu|shuri-te|tang-soo-do|tomari-te|wado-ryu|shito-kai|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-seibukan|shorin-ryu-shorinkan|ueshiro-shorin-ryu,middle,,Conventionally glossed 'to storm/penetrate a fortress'; the name is probably a phonetic Okinawan rendering of a Chinese form-name and the gloss is a later back-formation,by the mid-19th century; no documentation earlier than the Matsumura/Oyadomari generation,"Unknown. Two competing traditions: a Chinese resident of Tomari (named in some accounts as Annan, the same castaway figure attached to Chinto and Chinte) who taught Kokan Oyadomari; and Sokon Matsumura, who is said to have assembled his Passai from material learned in China","Okinawa (Tomari and Shuri), from Chinese source material of uncertain provenance","Anko Itosu, who fixed the Passai Dai form used in the school syllabus and composed Passai Sho as a companion; Gichin Funakoshi, who renamed it Bassai for Japan",Itosu's arrangement c. 1900-1907; Funakoshi's renaming 1935 (Karate-do Kyohan),Annan (Chinese castaway resident in Tomari) (transmitted); Kokan Oyadomari (transmitted); Sokon Matsumura (transmitted); Kishin Teruya (transmitted); Kosaku Matsumora (transmitted); Anko Itosu (standardised); Chotoku Kyan (modified); Gichin Funakoshi (renamed),yes,"Three named 19th-century streams survive: Matsumura no Passai (Sokon Matsumura, preserved through Nabe Matsumura and Hohan Soken in Matsumura Seito), Oyadomari/Tomari no Passai (Kokan Oyadomari, said to have learned it from a Chinese living in Tomari, transmitted onward through Kyan), and the Itosu line, which produced Passai Dai and Passai Sho and is the ancestor of the Shotokan Bassai Dai/Sho and the Shito-ryu forms. The Matsumura version is described as retaining a distinctly Chinese flavour, the Oyadomari version as more thoroughly 'Okinawanised'.",https://en.wikipedia.org/wiki/Kokan_Oyadomari | https://www.ikigaiway.com/making-sense-of-passai-an-exploration-of-origin-and-style/
Passai Dai,パッサイ大 / 抜塞大,,shuri-te,kobayashi-shorin-ryu|shorin-ryu-shorinkan|shorin-ryu-kyudokan|shorin-ryu-shidokan|matsumura-seito|shito-ryu|shorin-ryu,middle,,,name in use from the late 19th century,"n/a: a label, not a composition",,,,,yes,"NEW, and deliberately flagged as ambiguous rather than given one identity. 'Passai Dai' denotes different kata in different lines. In Shito-ryu and general Okinawan usage it is Itosu's Passai, the same form Shotokan calls Bassai Dai. In the Chibana/Kobayashi line and its branches (Shorinkan, Kyudokan, Shidokan) it is Tawada no Passai, because Chibana reserved 'Passai Sho' for Itosu's form. Matsumura Seito uses it for one of the two Passai received from Nabe Matsumura. Merging syllabus lists on this name without a line qualifier will fuse three different kata.",
Passai Sho,抜塞小,Bassai Shō; Itosu no Passai Sho; Passai Gwa; Passai Guwa; Itosu no Passai,shuri-te,kobayashi-shorin-ryu|shito-ryu|shotokan|shorin-ryu-shorinkan|shorin-ryu-kyudokan|shorin-ryu-shidokan|shorin-ryu,middle,,"'Lesser Passai': Itosu's shorter companion form to Passai Dai, opening against a bō attack; same contested 'breach a fortress' gloss as the parent kata.",late 19th century,Anko Itosu,"Shuri, Okinawa",,,Anko Itosu (created); Gichin Funakoshi (renamed),yes,"Created by Itosu as the Shō pair to the standardised Passai Dai; transmitted to Shotokan (as Bassai Shō, renamed by Funakoshi mid-1930s), Shitō-ryū and Kobayashi Shōrin-ryū. Itosu's shorter companion form. CORRECTION. The existing row treats this as Itosu's short companion form and lists shotokan among its styles. That is wrong for the Kobayashi case and misleading generally. In the Chibana/Kobayashi line 'Passai Sho' IS Itosu's Passai, the same form Shotokan calls Bassai Dai; Chibana used 'Passai Dai' for Tawada no Passai, reversing the expected sense of the names. Shotokan does not use the reading 'Passai Sho' at all. In Shito-ryu, by contrast, 'Passai Sho' is simply the Okinawan reading of Bassai Sho. The Okinawan-dialect name 'Passai Gwa' (gwa = sho) is the Kobayashi-line form again, transmitted Chibana to Nakama Chozo to Shimabukuro Zenpo; the popular claim that Passai Gwa came from",https://en.wikipedia.org/wiki/Passai | https://en.wikipedia.org/wiki/Ank%C5%8D_Itosu
Pinan,平安 (ピンアン),Heian Shodan-Godan; Pinan Nidan-Shodan order swap in Shotokan; Pinan Shodan-Godan (I-V); Pyung Ahn / Pyong-an (평안),shuri-te,shorin-ryu|kobayashi-shorin-ryu|matsubayashi-ryu|shobayashi-shorin-ryu|shorin-ryu-seibukan|shorinji-ryu|shito-ryu|shotokan|wado-ryu|shukokai|kyokushin|shuri-ryu|tang-soo-do|soo-bahk-do|shogen-ryu|shorin-ryu-kishaba-juku|ueshiro-shorin-ryu,junior,n/a for the Okinawan parent; see Heian,"平安, 'peaceful and safe' (Okinawan/Chinese reading Pinan; Sino-Japanese Heian): Itosu reportedly chose the name to express that one who masters the series can be confident of protecting themselves. A five-kata pedagogical series distilled mainly from Kusanku (and, per tradition, the lost Channan) for schoolchildren.",1904-1907 (introduced into Okinawan school physical education),Anko Itosu,"Shuri, Okinawa",Gichin Funakoshi (Q41105) by renaming and reordering,1935,Anko Itosu (created); Gichin Funakoshi (renamed),yes,"Itosu created the series around 1904-1907 as an entry curriculum when karate entered Okinawan schools; Motobu Chōki recalled Itosu initially calling the material Channan. Funakoshi renamed them Heian in the mid-1930s and swapped the order of the first two; Korean kwan lineages transmit them as Pyung Ahn. Parent-row cross-reference and a note on why the Shotokan and Okinawan orderings disagree. Nagamine's objection is on record and should be attached to this row: he argues the Okinawan names should be restored because the Japanese readings cost the tradition its cultural identity, while conceding that Funakoshi had little choice given the anti-Chinese sentiment of 1930s Japan. Nagamine also complains, at the same place, that nekoashi-dachi was converted into the longer kokutsu-dachi, which he attributes to Funakoshi's direction; the Shotokan literature attributes that change to Gigo. That",https://en.wikipedia.org/wiki/Pinan | https://en.wikipedia.org/wiki/Ank%C5%8D_Itosu | https://en.wikipedia.org/wiki/Channan
Pinan Godan,平安五段,Heian Godan,shuri-te,shito-ryu|shorin-ryu|shuri-te|wado-ryu|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|shorinji-ryu|ueshiro-shorin-ryu,junior,,"peaceful mind, fifth level",1904-1907,Anko Itosu,,Funakoshi and the JKA (Heian Godan),1936 onward,Anko Itosu (created); Gichin Funakoshi (renamed),,Fifth of the Itosu series.,"WKF Competition Rules, Appendix: Official Kata List"
Pinan Nidan,平安二段,Heian Shodan,shuri-te,shito-ryu|shorin-ryu|shuri-te|wado-ryu|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|shorinji-ryu|ueshiro-shorin-ryu,junior,,"peaceful mind, second level",1904-1907,Anko Itosu,,"Funakoshi, who made it Heian Shodan",1936,Anko Itosu (created); Gichin Funakoshi (renamed),,Second of the Itosu series; became the first Shotokan Heian.,"WKF Competition Rules, Appendix: Official Kata List"
Pinan Sandan,平安三段,Heian Sandan,shuri-te,shito-ryu|shorin-ryu|shuri-te|wado-ryu|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|shorinji-ryu|ueshiro-shorin-ryu,junior,,"peaceful mind, third level",1904-1907,Anko Itosu,,Funakoshi and the JKA (Heian Sandan),1936 onward,Anko Itosu (created); Gichin Funakoshi (renamed),,Third of the Itosu series.,"WKF Competition Rules, Appendix: Official Kata List"
Pinan Shodan,平安初段,Heian Nidan; Pyung Ahn Cho Dan,shuri-te,shito-ryu|shorin-ryu|shuri-te|wado-ryu|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|shorinji-ryu|ueshiro-shorin-ryu,junior,,"peaceful mind, first level",1904-1907,Anko Itosu,,"Funakoshi (renamed Heian, and swapped the order of the first two); Otsuka for Wado",1936 renaming; Wado recension 1930s,Anko Itosu (created); Gichin Funakoshi (renamed); Hironori Otsuka (modified),yes,Created by Itosu for the Okinawan school physical-education programme. Nagamine records 'Pinan was changed to be pronounced Heian'.,"WKF Competition Rules, Appendix: Official Kata List"
Pinan Yondan,平安四段,Heian Yondan,shuri-te,shito-ryu|shorin-ryu|shuri-te|wado-ryu|kobayashi-shorin-ryu|matsubayashi-ryu|shito-kai|shobayashi-shorin-ryu|shogen-ryu|shorin-ryu-kishaba-juku|shorin-ryu-kyudokan|shorin-ryu-seibukan|shorin-ryu-shorinkan|shorinji-ryu|ueshiro-shorin-ryu,junior,,"peaceful mind, fourth level",1904-1907,Anko Itosu,,Funakoshi and the JKA (Heian Yondan),1936 onward,Anko Itosu (created); Gichin Funakoshi (renamed),,Fourth of the Itosu series.,"WKF Competition Rules, Appendix: Official Kata List"
"Rohai Shodan, Nidan, Sandan",鷺牌 初段・二段・三段,Itosu Rohai; Itosu no Rohai; Meikyo (Shotokan); Rohai Jo/Chu/Ge,shuri-te,shito-ryu|itosu-ryu|shito-kai|shukokai|motobu-ha-shito-ryu|hayashi-ha-shito-ryu|shotokan|wado-ryu,,,"'Heron sign' in three graded versions; Itosu expanded the single Tomari Rohai into a pedagogical series, as he did with Pinan and Naihanchi. Funakoshi's Shotokan derivative was renamed Meikyo, 'bright (polished) mirror'.",c. 1900s,Anko Itosu,"Shuri, Okinawa",,,Anko Itosu (created); Kenwa Mabuni (standardised); Gichin Funakoshi (renamed),,"Itosu reworked the Matsumora/Tomari Rohai into shodan, nidan and sandan versions for school instruction; Mabuni preserved all three in Shito-ryu, Wado-ryu retains a single Rohai from the same material, and Funakoshi blended the series into the Shotokan kata Meikyo. Listed here rather than under Shuri-te because it is the direct cross-line offspring of the Tomari kata.",https://en.wikipedia.org/wiki/R%C5%8Dhai | https://fightingarts.com/examining-yasutsune-itosu-part-1/
Seisan,十三 / セイサン,Ban Wol; Hangetsu; Hangetsu (Shotokan); Hangetsu (半月); Kyan no Seisan / Isshin-ryu Seisan; Matsumura no Seisan; Seisan; Seisan (Goju-ryu); Seisan (Naha/Uechi versions are distinct); Seisan (Uechi); Seisan (Uechi-ryu); Seishan; Seishan (Wado-ryu); Sesan; Shorin Seisan; Kyan no Seisan; Jusanpo; Seisan-di,shuri-te,goju-ryu|isshin-ryu|matsumura-seito|naha-te|okinawa-kenpo|shito-ryu|shobayashi-shorin-ryu|shorin-ryu|shorin-ryu-seibukan|shorinji-ryu|shotokan|shuri-te|uechi-ryu|wado-ryu|chito-ryu|isshin-ryu-aoka|isshin-ryu-iwka|isshin-ryu-oikka|isshin-ryu-uika|tomari-te|chubu-shorin-ryu|kenshinkan|matsumura-kenpo|shorinji-ryu-renshinkan|shorinjiryu-kenkokan|motobu-ryu|renbukai,middle,,"'Thirteen' (thirteen hands, or thirteen postures/techniques)",19th century or earlier; demonstrated publicly on Okinawa by 1867,"Unknown. A Fujian source form is near-certain: cognate sets survive in Fuzhou Monk Fist, Dragon and Lion boxing. No individual Chinese creator is recoverable","Fujian, China; transmitted into both Shuri-te and Naha-te lines on Okinawa","Sokon Matsumura and then Chotoku Kyan for the Shuri/Shorin stream; Kanryo Higaonna and Chojun Miyagi for the Naha stream; Kanbun Uechi for the Pangai-noon stream; Gichin Funakoshi, who renamed his version Hangetsu",Kyan's version fixed c. 1900-1930 (and is the parent of the Isshin-ryu Seisan); Funakoshi's Hangetsu renamed 1935,Seisho Arakaki (Aragaki) (transmitted); Sokon Matsumura (transmitted); Chotoku Kyan (modified); Kanryo Higaonna (brought); Kanbun Uechi (brought); Chojun Miyagi (standardised); Gichin Funakoshi (renamed); Sokon Matsumura (standardised); Chotoku Kyan (standardised),yes,"Seisan is the single most widely distributed kata in the Okinawan corpus and the strongest evidence that Shuri-te and Naha-te drew on overlapping Fujian material. Aragaki Seisho demonstrated a Seisan in 1867 before the last Sapposhi, Zhao Xin, which is the earliest firm date for the kata on Okinawa. Independent lines are recorded through Kosaku Matsumora, Kodatsu Iha, Chojo Oshiro, Chotoku Kyan, Seisho Aragaki, Kanryo Higaonna, Kanbun Uechi and Norisato Nakaima. Kyan is said to have had his Seisan from Sokon Matsumura, and the Kyan and Shimabuku versions closely resemble the 'Matsumura no Seisan' preserved in some Shito-ryu branches.",https://en.wikipedia.org/wiki/Seisan | https://www.ikigaiway.com/a-historical-walking-tour-of-seisan-kata/ | https://fightingarts.com/roots-of-shotokan-funakoshis-original-15-kata-part-3-seisan-wanshu-chinto-jitte-jion-kata/ | https://milos.io/shorin-ryu-kata-origins/
Seisan (Isshin-ryu),十三,Seisan (Shimabuku),shuri-te,isshin-ryu|isshin-ryu-aoka|isshin-ryu-iwka|isshin-ryu-oikka|isshin-ryu-uika|isshin-ryu-kobudo,junior,,,"Kyan's form, 19th century; Isshin-ryu recension from 1956",Unknown; received via Chotoku Kyan,,Tatsuo Shimabuku,,,yes,"NEW RECORD, entered because the Isshin-ryu reading is distinctive enough to be worth resolving separately and the client named it. Shimabuku Tatsuo (1908-1975) took Seisan from Kyan Chotoku and modified it: raised stances for mobility and balance, and the vertical (half-rotation) fist on every punch. Nakazato John states Kyan did not teach the vertical fist and that it was Shimabuku's own innovation, though Kyan is separately reported to have used a modified vertical punch.",
Shiho Kusanku,四方公相君,Shiho Kosokun; Shihō Kūsankū,shuri-te,shito-ryu|itosu-ryu,senior,,"四方, 'four directions' + Kusanku: a rare Itosu-attributed variant that redistributes Kusanku material along a four-directional embusen.",c. 1900s,Anko Itosu (attributed),"Shuri, Okinawa",,,Anko Itosu (created); Kenwa Mabuni (standardised),,"Attributed to Itosu's late reworkings of the Kusanku theme and preserved almost solely through Mabuni's Shitō-ryū and its branches (notably Itosu-kai/Itosu-ryū); the attribution rests on Shitō-ryū tradition rather than contemporary documents. [Verifier: Real kata (Shiho Kosokun), practised essentially only in Shito-ryu, redistributing Kusanku material in four directions. Attribution is contested: Four-direction Kusanku; same form as Kosokun Shiho.",https://en.wikipedia.org/wiki/K%C5%ABsank%C5%AB_(kata) | https://en.wikipedia.org/wiki/Shit%C5%8D-ry%C5%AB | https://en.wikipedia.org/wiki/Ank%C5%8D_Itosu
Shinpa,心波,Shimpa; Shinpa (Mabuni); Shinpa Tairyu,shuri-te,seito-shito-ryu|shito-kai|shito-ryu,junior,,waves of the heart / new wave,c. 1930s-1940s,Kenwa Mabuni,"Osaka, Japan",Kenwa Mabuni,1930s-1940s,Kenwa Mabuni (created),yes,A short Mabuni composition drawing on Naha-te close-range material.,"WKF Competition Rules, Appendix: Official Kata List"
Shinsei,新生,Shinsei Dai Ichi; Shinsei Dai Ichi / Dai Ni (some branches); Shinsei Dai Ni; Shinsei Ichi; Shinsei Ni,shuri-te,kuniba-ha|seito-shito-ryu|shito-kai|shito-ryu,junior,,new life / rebirth,c. 1940s,Kenwa Mabuni,"Osaka, Japan",Kenwa Mabuni,1940s,Kenwa Mabuni (created),,Composed under wartime physical-education requirements; Shinsei Ni is sometimes counted as a separate kata.,"WKF Competition Rules, Appendix: Official Kata List"
Shiro Kuma,白熊,Shiraguma; Shiraguma no kata; White Bear,shuri-te,motobu-ryu,,,"白熊, 'white bear' (polar bear): reportedly a short, direct fighting kata reflecting Motobu Chōki's pressure-tested, close-range kumite method.",early 20th century (c. 1920s-1940s),Choki Motobu (attributed),mainland Japan (Motobu's Tokyo/Osaka teaching years),,,Choki Motobu (created),,"A poorly documented kata attributed to Motobu Chōki, kept privately within the Motobu-ryū/Motobu Kenpō lineage and not shown publicly; Iwai Tsukuo (student of Motobu Chōsei) claimed in a 1997 letter that Shiraguma preserves Itosu's lost Channan. Both the attribution and the Channan identification are unverifiable and should be treated as lineage tradition. [Verifier: Attested: Motobu Choki is repo",https://iainabernethy.com/content/motobu-choki-sensei-and-white-bear-kata | https://en.wikipedia.org/wiki/Motobu_Ch%C5%8Dki | https://www.inkks.org/articles/the-mystery-of-the-channan-kata
Sochin,壮鎮,Aragaki Sochin; Aragaki no Sochin; Hakko; Hakko (Funakoshi's short-lived renaming); Sochin (Shotokan); Sōchin,shuri-te,genseiryu|itosu-ryu|naha-te|shito-ryu|shotokan|shuri-te|chito-ryu,senior,n/a for the Okinawan parent; see Sochin (Shotokan) for the renaming attempt,strength and calm / tranquil force,mid to late 19th century,"Seisho Arakaki (Aragaki, 1840-1918)","Kume/Naha, Okinawa (Fuzhou-influenced)",Gigo (Yoshitaka) Funakoshi for the Shotokan version; Kenwa Mabuni for Shito-ryu,Shotokan reworking late 1930s to early 1940s,Seisho Arakaki (created); Kenwa Mabuni (standardised); Gigo Funakoshi (modified); Gigo Funakoshi (standardised),yes,One of the Aragaki-line kata (with Niseishi and Unsu) taken up by both Mabuni and the Funakoshis,"WKF Competition Rules, Appendix: Official Kata List"
Sunsu,孫子,Sun Nu Su; Sun-nu-su; Sunnusu; Sunsu no Kata; Sunusu,shuri-te,isshin-ryu|isshin-ryu-iwka|isshin-ryu-oikka|isshin-ryu-aoka|isshin-ryu-uika,senior,,"from Tatsuo Shimabuku's own nickname, variously glossed as 'strong man'",composed c. 1947-1956; named at or shortly after the founding of Isshin-ryu in 1956,Tatsuo Shimabuku,"Chan (Kyan) village, Okinawa",Tatsuo Shimabuku,"1956-1966, during which Shimabuku continued to alter the kata; the 1966 filmed version is the usual reference standard",Tatsuo Shimabuku (created); Kichiro Shimabuku (standardised); Angi Uezu (transmitted),yes,"The one kata original to Isshin-ryu, assembled by Shimabuku Tatsuo (1908-1975) from material he took out of the other seven empty-hand kata of his syllabus (Seisan, Seiunchin, Naihanchi, Wansu, Chinto, Kusanku, Sanchin), which he had from Kyan Chotoku, Miyagi Chojun and Motobu Choki.",https://en.wikipedia.org/wiki/Tatsuo_Shimabuku | https://en.wikipedia.org/wiki/Isshin-ry%C5%AB
